time,Queue_1_load,Queue_2_load,Queue_3_load,Queue_4_load
10.830029999999978,,,,0.0
10.899999999999977,0.0,0.0,0.0,
10.930029999999977,,,,0.0
10.999999999999977,0.0,0.0,0.0,
11.030029999999977,,,,0.0
11.099999999999977,0.0,0.0,0.0,
11.130029999999977,,,,0.0
11.199999999999976,0.0,0.0,0.0,
11.230029999999976,,,,0.0
11.299999999999976,0.0,0.0,0.0,
11.330029999999976,,,,0.0
11.399999999999975,0.0,0.0,0.0,
11.430029999999975,,,,0.0
11.499999999999975,0.0,0.0,0.0,
11.530029999999975,,,,0.0
11.599999999999975,0.0,0.0,0.0,
11.630029999999975,,,,0.0
11.699999999999974,0.0,0.0,0.0,
11.730029999999974,,,,0.0
11.799999999999974,0.0,0.0,0.0,
11.830029999999974,,,,0.0
11.899999999999974,0.0,0.0,0.0,
11.930029999999974,,,,0.0
11.999999999999973,0.0,0.0,0.0,
12.030029999999973,,,,0.0
12.099999999999973,0.0,0.0,0.0,
12.130029999999973,,,,0.0
12.199999999999973,0.0,0.0,0.0,
12.230029999999973,,,,0.0
12.299999999999972,0.0,0.0,0.0,
12.330029999999972,,,,0.0
12.399999999999972,0.0,0.0,0.0,
12.430029999999972,,,,0.0
12.499999999999972,0.0,0.0,0.0,
12.530029999999972,,,,0.0
12.599999999999971,0.0,0.0,0.0,
12.630029999999971,,,,0.0
12.69999999999997,0.0,0.0,0.0,
12.73002999999997,,,,0.0
12.79999999999997,0.0,0.0,0.0,
12.83002999999997,,,,0.0
12.89999999999997,0.0,0.0,0.0,
12.93002999999997,,,,0.0
12.99999999999997,0.0,0.0,0.0,
13.03002999999997,,,,0.0
13.09999999999997,0.0,0.0,0.0,
13.13002999999997,,,,0.0
13.199999999999969,0.0,0.0,0.0,
13.230029999999969,,,,0.0
13.299999999999969,0.0,0.0,0.0,
13.330029999999969,,,,0.0
13.399999999999968,0.0,0.0,0.0,
13.430029999999968,,,,0.0
13.499999999999968,0.0,0.0,0.0,
13.530029999999968,,,,0.0
13.599999999999968,0.0,0.0,0.0,
13.630029999999968,,,,0.0
13.699999999999967,0.0,0.0,0.0,
13.730029999999967,,,,0.0
13.799999999999967,0.0,0.0,0.0,
13.830029999999967,,,,0.0
13.899999999999967,0.0,0.0,0.0,
13.930029999999967,,,,0.0
13.999999999999966,0.0,0.0,0.0,
14.030029999999966,,,,0.0
14.099999999999966,0.0,0.0,0.0,
14.130029999999966,,,,0.0
14.199999999999966,0.0,0.0,0.0,
14.230029999999966,,,,0.0
14.299999999999965,0.0,0.0,0.0,
14.330029999999965,,,,0.0
14.399999999999965,0.0,0.0,0.0,
14.430029999999965,,,,0.0
14.499999999999964,0.0,0.0,0.0,
