time,Queue_1_load,Queue_2_load,Queue_3_load,Queue_4_load,Queue_5_load,Queue_6_load
3.050999999999989,,,35.0,,,
3.050999999999989,,,34.0,,,
3.051079999999992,,,35.0,,,
3.051109999999992,,,36.0,,,
3.051849999999989,,,36.0,,,
3.051849999999989,,,35.0,,,
3.0519299999999916,,,36.0,,,
3.051959999999992,,,37.0,,,
3.0526999999999886,,,37.0,,,
3.0526999999999886,,,36.0,,,
3.0527799999999914,,,37.0,,,
3.0528099999999916,,,38.0,,,
3.0535499999999884,,,38.0,,,
3.0535499999999884,,,37.0,,,
3.053629999999991,,,38.0,,,
3.0536599999999914,,,39.0,,,
3.0543999999999882,,,39.0,,,
3.0543999999999882,,,38.0,,,
3.054479999999991,,,39.0,,,
3.054509999999991,,,40.0,,,
3.055249999999988,,,40.0,,,
3.055249999999988,,,39.0,,,
3.0553299999999908,,,40.0,,,
3.055359999999991,,,41.0,,,
3.056099999999988,,,41.0,,,
3.056099999999988,,,40.0,,,
3.0561799999999906,,,41.0,,,
3.0569499999999876,,,41.0,,,
3.0569499999999876,,,40.0,,,
3.0570299999999904,,,41.0,,,
3.0577999999999874,,,41.0,,,
3.0577999999999874,,,40.0,,,
3.05787999999999,,,41.0,,,
3.058649999999987,,,41.0,,,
3.058649999999987,,,40.0,,,
3.05872999999999,,,41.0,,,
3.059499999999987,,,41.0,,,
3.059499999999987,,,40.0,,,
3.0595799999999898,,,41.0,,,
3.060349999999987,,,41.0,,,
3.060349999999987,,,40.0,,,
3.0604299999999895,,,41.0,,,
3.0611999999999866,,,41.0,,,
3.0611999999999866,,,40.0,,,
3.0612799999999893,,,41.0,,,
3.0620499999999864,,,41.0,,,
3.0620499999999864,,,40.0,,,
3.062129999999989,,,41.0,,,
3.062899999999986,,,41.0,,,
3.062899999999986,,,40.0,,,
3.062979999999989,,,41.0,,,
3.063749999999986,,,41.0,,,
3.063749999999986,,,40.0,,,
3.0638299999999887,,,41.0,,,
3.064599999999986,,,41.0,,,
3.064599999999986,,,40.0,,,
3.0646799999999885,,,41.0,,,
3.0654499999999856,,,41.0,,,
3.0654499999999856,,,40.0,,,
3.0655299999999883,,,41.0,,,
3.0662999999999854,,,41.0,,,
3.0662999999999854,,,40.0,,,
3.066350000000005,,0.0,,,,
3.066379999999988,,,41.0,,,
3.067149999999985,,,41.0,,,
3.067149999999985,,,40.0,,,
3.067229999999988,,,41.0,,,
3.067999999999985,,,41.0,,,
3.067999999999985,,,40.0,,,
3.0680799999999877,,,41.0,,,
3.0688499999999848,,,41.0,,,
3.0688499999999848,,,40.0,,,
3.0689299999999875,,,41.0,,,
3.0696999999999846,,,41.0,,,
3.0696999999999846,,,40.0,,,
3.0697799999999873,,,41.0,,,
3.0705499999999843,,,41.0,,,
3.0705499999999843,,,40.0,,,
