time,Router_5_load
3.897430000000007,43
3.897475000000007,43
3.898529999999983,43
3.898529999999983,42
3.898529999999983,42
3.907505000000007,43
3.907550000000007,43
3.910029999999983,43
3.910029999999983,42
3.910029999999983,42
3.917580000000007,43
3.9176250000000072,43
3.921529999999983,43
3.921529999999983,42
3.921529999999983,42
3.9276550000000072,43
3.9277000000000073,43
3.9330299999999827,43
3.9330299999999827,42
3.9330299999999827,42
3.9377300000000073,43
3.9377750000000074,43
3.9445299999999826,43
3.9445299999999826,42
3.9445299999999826,42
3.9478050000000073,43
3.9478500000000074,43
3.9560299999999824,43
3.9560299999999824,42
3.9560299999999824,42
3.9578800000000074,43
3.9579250000000075,43
3.9675299999999822,43
3.9675299999999822,42
3.9675299999999822,42
3.9679550000000074,43
3.9680000000000075,43
3.9780300000000075,44
3.9780600000000077,45
3.9780750000000076,45
3.979029999999982,45
3.979029999999982,44
3.979029999999982,44
3.9881050000000076,45
3.9881500000000076,45
3.990529999999982,45
3.990529999999982,44
3.990529999999982,44
3.9981800000000076,45
3.9982250000000077,45
4.002029999999982,45
4.002029999999982,44
4.002029999999982,44
4.008255000000007,45
4.008300000000007,45
4.013529999999982,45
4.013529999999982,44
4.013529999999982,44
4.018330000000007,45
4.018375000000007,45
4.0250299999999815,45
4.0250299999999815,44
4.0250299999999815,44
4.0284050000000065,45
4.0284500000000065,45
4.036529999999981,45
4.036529999999981,44
4.036529999999981,44
4.038480000000006,45
4.038525000000006,45
4.048029999999981,45
4.048029999999981,44
4.048029999999981,44
4.048555000000006,45
4.048600000000006,45
4.058630000000005,46
4.058675000000005,46
4.059529999999981,46
4.059529999999981,45
4.059529999999981,45
4.068705000000005,46
4.068750000000005,46
4.071029999999981,46
4.071029999999981,45
4.071029999999981,45
4.0787800000000045,46
4.078825000000005,46
4.082529999999981,46
4.082529999999981,45
4.082529999999981,45
4.088855000000004,46
4.088900000000004,46
4.0940299999999805,46
4.0940299999999805,45
4.0940299999999805,45
4.098930000000004,46
4.098975000000004,46
4.10552999999998,46
4.10552999999998,45
4.10552999999998,45
4.109005000000003,46
4.109050000000003,46
4.11702999999998,46
4.11702999999998,45
